"","...1","sample_id","code","sample_date","k","no3_n","mg","ca","nh4_n","year","nh4_n_avg"
"116",116,"Q2",100013109,1988-05-31,0.83,224,2.19,3.58,69,1988,72.375
"117",117,"Q3",100014105,1988-05-31,0.67,178,2.41,2.7,88,1988,58.625
"118",118,"Q1",100012115,1988-06-07,0.8,147,2.91,3.58,59,1988,90.625
"119",119,"Q2",100013110,1988-06-07,0.72,188,2.63,4.36,71,1988,74.4285714285714
"120",120,"Q3",100014106,1988-06-07,0.74,206,2.98,3.23,78,1988,59.5714285714286
"121",121,"Q1",100012116,1988-06-14,0.79,NA,2.85,3.53,68,1988,107.666666666667
"122",122,"Q2",100013111,1988-06-14,0.69,NA,2.59,4.12,118,1988,85.8
"123",123,"Q3",100014107,1988-06-14,0.7,NA,2.99,3.24,70,1988,67.4
"124",124,"Q1",100012117,1988-06-21,0.81,NA,1.95,2.66,158,1988,81.8
"125",125,"Q2",100013112,1988-06-21,0.73,NA,1.88,3.48,NA,1988,78
"126",126,"Q3",100014108,1988-06-21,0.69,NA,2.16,2.56,NA,1988,65.6
"127",127,"Q1",100012119,1988-06-28,0.71,NA,2.71,4.87,NA,1988,86.5
"128",128,"Q2",100013114,1988-06-28,0.71,NA,2.41,4.05,NA,1988,86
"129",129,"Q3",100014110,1988-06-28,0.7,NA,2.74,2.98,NA,1988,63.5
"130",130,"Q1",100012120,1988-07-05,0.78,NA,2.84,3.41,NA,1988,95
"131",131,"Q2",100013115,1988-07-05,0.83,NA,2.43,3.83,NA,1988,94.5
"132",132,"Q3",100014111,1988-07-05,0.7,NA,2.79,2.98,NA,1988,46.25
"133",133,"Q1",100012121,1988-07-12,NA,NA,0.54,NA,NA,1988,113
"134",134,"Q2",100013116,1988-07-12,0.71,NA,2.59,4.53,NA,1988,67.5
"135",135,"Q3",100014112,1988-07-12,0.67,NA,2.77,2.95,NA,1988,28
"136",136,"Q1",100012122,1988-07-19,0.73,NA,1.84,2.54,NA,1988,87
"137",137,"Q2",100013117,1988-07-19,0.77,NA,1.84,3.36,NA,1988,15.5
"138",138,"Q3",100014113,1988-07-19,0.55,NA,2.13,2.72,18,1988,29.75
"139",139,"Q1",100012123,1988-07-22,0.82,NA,2.47,3.2,NA,1988,87
"140",140,"Q2",100013118,1988-07-22,0.81,NA,2.23,3.8,NA,1988,15.5
"141",141,"Q3",100014114,1988-07-22,0.67,NA,2.36,2.76,NA,1988,29.75
"142",142,"Q1",100012128,1988-07-26,NA,NA,NA,NA,NA,1988,16
"143",143,"Q1",100012124,1988-07-26,0.71,NA,1.65,2.43,NA,1988,16
"144",144,"Q2",100013120,1988-07-26,0.8,NA,1.88,3.38,NA,1988,14
"145",145,"Q2",100013119,1988-07-26,0.71,NA,1.61,3.1,NA,1988,14
"146",146,"Q3",100014115,1988-07-26,0.63,NA,2.01,2.45,NA,1988,28.6
"147",147,"Q3",100014116,1988-07-26,NA,NA,NA,NA,NA,1988,28.6
"148",148,"Q1",100012125,1988-08-02,0.73,NA,2.9,3.48,NA,1988,16
"149",149,"Q2",100013121,1988-08-02,0.77,NA,2.55,1.32,NA,1988,14
"150",150,"Q3",100014117,1988-08-02,0.74,NA,2.93,3.19,19,1988,28.6
"151",151,"Q1",100012126,1988-08-09,0.81,NA,2.92,3.56,NA,1988,15.5
"152",152,"Q2",100013122,1988-08-09,0.77,NA,2.61,4.21,17,1988,14
